text_unit_id,1st_element
論語集註大全-里仁-07-01,"<canon id=""論語-里仁-07-01"">○子曰：「人之過也，各於其黨。觀過，斯知仁矣。」</canon>"
論語集註大全-里仁-08-01,"<canon id=""論語-里仁-08-01"">○子曰：「朝聞道，夕死可矣。」</canon>"
論語集註大全-里仁-09-01,"<canon id=""論語-里仁-09-01"">○子曰：「士志於道，而恥惡衣惡食者，未足與議也。」</canon>"
論語集註大全-里仁-10-01,"<canon id=""論語-里仁-10-01"">○子曰：「君子之於天下也，無適也，無莫也，義之與比。」</canon>"
論語集註大全-里仁-11-01,"<canon id=""論語-里仁-11-01"">○子曰：「君子懷德，小人懷土；君子懷刑，小人懷惠。」</canon>"
論語集註大全-里仁-12-01,"<canon id=""論語-里仁-12-01"">○子曰：「放於利而行，多怨。」</canon>"
論語集註大全-里仁-13-01,"<canon id=""論語-里仁-13-01"">○子曰：「能以禮讓爲國乎？何有？不能以禮讓爲國，如禮何？」</canon>"
論語集註大全-里仁-14-01,"<canon id=""論語-里仁-14-01"">○子曰：「不患無位，患所以立；不患莫己知，求爲可知也。」</canon>"
論語集註大全-里仁-15-01,"<canon id=""論語-里仁-15-01"">○子曰：「參乎！吾道一以貫之。」曾子曰：「唯。」</canon>"
論語集註大全-里仁-15-02,"<canon id=""論語-里仁-15-02"">子出，門人問曰：「何謂也？」曾子曰：「夫子之道，忠恕而已矣。」</canon>"
論語集註大全-里仁-16-01,"<canon id=""論語-里仁-16-01"">○子曰：「君子喩於義，小人喩於利。」</canon>"
論語集註大全-里仁-17-01,"<canon id=""論語-里仁-17-01"">○子曰：「見賢思齊焉，見不賢而內自省也。」</canon>"
論語集註大全-里仁-18-01,"<canon id=""論語-里仁-18-01"">○子曰：「事父母幾諫，見志不從，又敬不違，勞而不怨。」</canon>"
論語集註大全-里仁-19-01,"<canon id=""論語-里仁-19-01"">○子曰：「父母在，不遠遊，遊必有方。」</canon>"
論語集註大全-里仁-20-01,"<canon id=""論語-里仁-20-01"">○子曰：「三年無改於父之道，可謂孝矣。」</canon>"
論語集註大全-里仁-21-01,"<canon id=""論語-里仁-21-01"">○子曰：「父母之年，不可不知也。一則以喜，一則以懼。」</canon>"
論語集註大全-里仁-22-01,"<canon id=""論語-里仁-22-01"">○子曰：「古者言之不出，恥躬之不逮也。」</canon>"
論語集註大全-里仁-23-01,"<canon id=""論語-里仁-23-01"">○子曰：「以約失之者鮮矣。」</canon>"
論語集註大全-里仁-24-01,"<canon id=""論語-里仁-24-01"">○子曰：「君子欲訥於言而敏於行。」</canon>"
論語集註大全-里仁-25-01,"<canon id=""論語-里仁-25-01"">○子曰：「德不孤，必有隣。」</canon>"
論語集註大全-里仁-26-01,"<canon id=""論語-里仁-26-01"">○子游曰：「事君數，斯辱矣；朋友數，斯疏矣。」</canon>"
論語集註大全-公冶長,"<heading id=""論語-公冶長"">論語集註大全 / 公冶長</heading>"
論語集註大全-公冶長-01-01,"<canon id=""論語-公冶長-01-01"">○子謂公冶長：「可妻也。雖在縲絏之中，非其罪也。」以其子妻之。</canon>"
論語集註大全-公冶長-01-02,"<canon id=""論語-公冶長-01-02"">子謂南容：「邦有道，不廢；邦無道，免於刑戮。」以其兄之子妻之。</canon>"
論語集註大全-公冶長-02-01,"<canon id=""論語-公冶長-02-01"">○子謂子賤：「君子哉若人！魯無君子者，斯焉取斯？」</canon>"
論語集註大全-公冶長-03-01,"<canon id=""論語-公冶長-03-01"">○子貢問曰：「賜也何如？」子曰：「女器也。」曰：「何器也？」曰：「瑚璉也。」</canon>"
論語集註大全-公冶長-04-01,"<canon id=""論語-公冶長-04-01"">○或曰：「雍也仁而不佞。」</canon>"
論語集註大全-公冶長-04-02,"<canon id=""論語-公冶長-04-02"">子曰：「焉用佞？禦人以口給，屢憎於人。不知其仁，焉用佞？」</canon>"
論語集註大全-公冶長-05-01,"<canon id=""論語-公冶長-05-01"">○子使漆雕開仕。對曰：「吾斯之未能信。」子說。</canon>"
論語集註大全-公冶長-06-01,"<canon id=""論語-公冶長-06-01"">○子曰：「道不行，乘桴浮于海。從我者，其由與？」子路聞之喜。子曰：「由也好勇過我，無所取材。」</canon>"
論語集註大全-公冶長-07-01,"<canon id=""論語-公冶長-07-01"">○孟武伯問：「子路仁乎？」子曰：「不知也。」</canon>"
論語集註大全-公冶長-07-02,"<canon id=""論語-公冶長-07-02"">又問。子曰：「由也，千乘之國，可使治其賦也，不知其仁也。」</canon>"
論語集註大全-公冶長-07-03,"<canon id=""論語-公冶長-07-03"">「求也何如？」子曰：「求也，千室之邑，百乘之家，可使爲之宰也，不知其仁也。」</canon>"
論語集註大全-公冶長-07-04,"<canon id=""論語-公冶長-07-04"">「赤也何如？」子曰：「赤也，束帶立於朝，可使與賓客言也，不知其仁也。」</canon>"
論語集註大全-公冶長-08-01,"<canon id=""論語-公冶長-08-01"">○子謂子貢曰：「女與回也孰愈？」</canon>"
論語集註大全-公冶長-08-02,"<canon id=""論語-公冶長-08-02"">對曰：「賜也何敢望回？回也聞一以知十，賜也聞一以知二。」</canon>"
論語集註大全-公冶長-08-03,"<canon id=""論語-公冶長-08-03"">子曰：「弗如也！吾與女弗如也。」</canon>"
論語集註大全-公冶長-09-01,"<canon id=""論語-公冶長-09-01"">○宰予晝寢。子曰：「朽木不可雕也，糞土之墻不可杇也，於予與何誅？」</canon>"
論語集註大全-公冶長-09-02,"<canon id=""論語-公冶長-09-02"">子曰：「始吾於人也，聽其言而信其行；今吾於人也，聽其言而觀其行。於予與改是。」</canon>"
論語集註大全-公冶長-10-01,"<canon id=""論語-公冶長-10-01"">○子曰：「吾未見剛者。」或對曰：「申棖。」子曰：「棖也慾，焉得剛？」</canon>"
